Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Phase1
50.000	2.1000	19.320	0.051760	0.62994	1.0650	49.281	12.566	21.379	440.58	-0.17139	6.7354e-06	0.050126	supercritical
50.000	2.6000	23.650	0.042284	0.62692	1.0670	47.451	12.589	21.492	446.74	-0.19393	6.8263e-06	0.051128	supercritical
50.000	3.1000	27.874	0.035876	0.62402	1.0692	45.939	12.612	21.593	452.99	-0.21644	6.9161e-06	0.052124	supercritical
50.000	3.6000	31.993	0.031257	0.62124	1.0716	44.649	12.635	21.681	459.35	-0.23860	7.0047e-06	0.053104	supercritical
50.000	4.1000	36.007	0.027773	0.61858	1.0743	43.525	12.658	21.759	465.77	-0.26004	7.0922e-06	0.054063	supercritical
50.000	4.6000	39.917	0.025052	0.61603	1.0773	42.529	12.681	21.827	472.26	-0.28042	7.1786e-06	0.054998	supercritical
50.000	5.1000	43.725	0.022870	0.61360	1.0805	41.635	12.704	21.886	478.77	-0.29948	7.2639e-06	0.055908	supercritical
50.000	5.6000	47.433	0.021082	0.61129	1.0838	40.824	12.727	21.937	485.31	-0.31705	7.3482e-06	0.056793	supercritical
50.000	6.1000	51.044	0.019591	0.60908	1.0874	40.082	12.750	21.982	491.84	-0.33307	7.4315e-06	0.057655	supercritical
50.000	6.6000	54.561	0.018328	0.60698	1.0912	39.399	12.772	22.022	498.36	-0.34758	7.5139e-06	0.058496	supercritical
50.000	7.1000	57.988	0.017245	0.60498	1.0951	38.766	12.794	22.058	504.85	-0.36069	7.5954e-06	0.059319	supercritical
50.000	7.6000	61.326	0.016306	0.60308	1.0991	38.176	12.817	22.090	511.32	-0.37255	7.6761e-06	0.060126	supercritical
50.000	8.1000	64.581	0.015484	0.60126	1.1033	37.623	12.839	22.119	517.76	-0.38333	7.7560e-06	0.060920	supercritical
50.000	8.6000	67.754	0.014759	0.59954	1.1076	37.104	12.860	22.145	524.17	-0.39320	7.8351e-06	0.061703	supercritical
50.000	9.1000	70.849	0.014114	0.59789	1.1120	36.615	12.882	22.168	530.55	-0.40231	7.9135e-06	0.062477	supercritical
50.000	9.6000	73.869	0.013538	0.59632	1.1165	36.152	12.903	22.188	536.90	-0.41079	7.9912e-06	0.063245	supercritical
50.000	10.100	76.815	0.013018	0.59482	1.1211	35.713	12.925	22.205	543.23	-0.41875	8.0683e-06	0.064008	supercritical
50.000	10.600	79.692	0.012548	0.59340	1.1258	35.295	12.946	22.220	549.53	-0.42627	8.1448e-06	0.064769	supercritical
50.000	11.100	82.500	0.012121	0.59204	1.1306	34.897	12.967	22.231	555.81	-0.43342	8.2207e-06	0.065529	supercritical
50.000	11.600	85.242	0.011731	0.59074	1.1354	34.517	12.988	22.240	562.07	-0.44023	8.2960e-06	0.066289	supercritical
50.000	12.100	87.921	0.011374	0.58951	1.1404	34.153	13.008	22.246	568.30	-0.44674	8.3708e-06	0.067051	supercritical
50.000	12.600	90.538	0.011045	0.58833	1.1454	33.805	13.029	22.250	574.51	-0.45297	8.4451e-06	0.067816	supercritical
50.000	13.100	93.095	0.010742	0.58721	1.1504	33.470	13.049	22.252	580.69	-0.45893	8.5188e-06	0.068585	supercritical
50.000	13.600	95.596	0.010461	0.58614	1.1556	33.149	13.069	22.252	586.84	-0.46462	8.5921e-06	0.069359	supercritical
50.000	14.100	98.040	0.010200	0.58513	1.1608	32.839	13.089	22.250	592.96	-0.47006	8.6649e-06	0.070138	supercritical
50.000	14.600	100.43	0.0099571	0.58416	1.1660	32.541	13.109	22.247	599.04	-0.47524	8.7372e-06	0.070924	supercritical
50.000	15.100	102.77	0.0097305	0.58324	1.1713	32.253	13.129	22.242	605.09	-0.48018	8.8091e-06	0.071717	supercritical
50.000	15.600	105.06	0.0095185	0.58237	1.1767	31.975	13.148	22.236	611.11	-0.48488	8.8806e-06	0.072517	supercritical
50.000	16.100	107.30	0.0093198	0.58155	1.1821	31.707	13.167	22.229	617.08	-0.48934	8.9516e-06	0.073325	supercritical
50.000	16.600	109.49	0.0091331	0.58076	1.1876	31.447	13.186	22.221	623.01	-0.49357	9.0223e-06	0.074141	supercritical
50.000	17.100	111.64	0.0089573	0.58002	1.1931	31.195	13.205	22.212	628.91	-0.49758	9.0926e-06	0.074965	supercritical
50.000	17.600	113.75	0.0087915	0.57932	1.1986	30.951	13.224	22.203	634.75	-0.50137	9.1625e-06	0.075799	supercritical
50.000	18.100	115.81	0.0086350	0.57865	1.2042	30.714	13.243	22.193	640.56	-0.50496	9.2321e-06	0.076641	supercritical
50.000	18.600	117.83	0.0084868	0.57802	1.2098	30.483	13.261	22.182	646.32	-0.50835	9.3014e-06	0.077492	supercritical
50.000	19.100	119.81	0.0083463	0.57743	1.2155	30.260	13.279	22.171	652.03	-0.51156	9.3703e-06	0.078352	supercritical
50.000	19.600	121.76	0.0082130	0.57687	1.2212	30.042	13.297	22.160	657.69	-0.51459	9.4389e-06	0.079222	supercritical
50.000	20.100	123.67	0.0080863	0.57635	1.2269	29.830	13.315	22.148	663.31	-0.51745	9.5072e-06	0.080101	supercritical
100.00	0.10000	0.48073	2.0802	1.2671	2.0998	89.264	12.475	20.793	589.26	-0.45474	9.7778e-06	0.073713	vapor
100.00	0.60000	2.8643	0.34913	1.2661	2.1045	74.356	12.489	20.829	593.55	-0.45859	9.8417e-06	0.074180	vapor
100.00	0.60000	2.8643	0.34913	1.2661	2.1045	74.356	12.489	20.829	593.55	-0.45859	9.8417e-06	0.074180	supercritical
100.00	0.60000	2.8643	0.34913	1.2661	2.1045	74.356	12.489	20.829	593.55	-0.45859	9.8417e-06	0.074180	supercritical
100.00	1.1000	5.2148	0.19176	1.2650	2.1093	69.306	12.503	20.863	597.85	-0.46222	9.9048e-06	0.074710	supercritical
100.00	1.6000	7.5329	0.13275	1.2640	2.1141	66.181	12.517	20.895	602.15	-0.46571	9.9672e-06	0.075278	supercritical
100.00	2.1000	9.8191	0.10184	1.2630	2.1190	63.910	12.531	20.927	606.44	-0.46911	1.0029e-05	0.075871	supercritical
100.00	2.6000	12.074	0.082824	1.2620	2.1240	62.125	12.546	20.957	610.73	-0.47245	1.0090e-05	0.076480	supercritical
100.00	3.1000	14.298	0.069941	1.2611	2.1289	60.654	12.560	20.986	615.01	-0.47575	1.0151e-05	0.077099	supercritical
100.00	3.6000	16.492	0.060637	1.2602	2.1339	59.402	12.574	21.013	619.29	-0.47903	1.0210e-05	0.077724	supercritical
100.00	4.1000	18.656	0.053603	1.2593	2.1390	58.312	12.588	21.039	623.57	-0.48230	1.0270e-05	0.078350	supercritical
100.00	4.6000	20.790	0.048099	1.2585	2.1441	57.348	12.602	21.064	627.84	-0.48555	1.0328e-05	0.078977	supercritical
100.00	5.1000	22.896	0.043675	1.2577	2.1492	56.482	12.616	21.088	632.11	-0.48878	1.0386e-05	0.079602	supercritical
100.00	5.6000	24.974	0.040042	1.2569	2.1544	55.697	12.630	21.111	636.37	-0.49199	1.0444e-05	0.080223	supercritical
100.00	6.1000	27.024	0.037004	1.2561	2.1596	54.979	12.643	21.132	640.63	-0.49515	1.0501e-05	0.080839	supercritical
100.00	6.6000	29.047	0.034427	1.2554	2.1649	54.318	12.657	21.152	644.88	-0.49826	1.0557e-05	0.081450	supercritical
100.00	7.1000	31.043	0.032214	1.2547	2.1702	53.704	12.671	21.171	649.12	-0.50130	1.0613e-05	0.082056	supercritical
100.00	7.6000	33.012	0.030292	1.2540	2.1755	53.132	12.685	21.189	653.36	-0.50426	1.0669e-05	0.082655	supercritical
100.00	8.1000	34.956	0.028607	1.2534	2.1808	52.597	12.698	21.206	657.58	-0.50713	1.0724e-05	0.083247	supercritical
100.00	8.6000	36.875	0.027119	1.2527	2.1862	52.094	12.712	21.223	661.80	-0.50989	1.0778e-05	0.083833	supercritical
100.00	9.1000	38.768	0.025794	1.2521	2.1917	51.619	12.725	21.238	666.01	-0.51254	1.0832e-05	0.084412	supercritical
100.00	9.6000	40.637	0.024608	1.2516	2.1971	51.169	12.739	21.252	670.20	-0.51507	1.0885e-05	0.084985	supercritical
100.00	10.100	42.483	0.023539	1.2510	2.2026	50.742	12.752	21.266	674.38	-0.51747	1.0939e-05	0.085551	supercritical
100.00	10.600	44.305	0.022571	1.2505	2.2081	50.336	12.765	21.279	678.55	-0.51973	1.0991e-05	0.086111	supercritical
100.00	11.100	46.103	0.021690	1.2500	2.2137	49.949	12.778	21.292	682.70	-0.52187	1.1043e-05	0.086664	supercritical
100.00	11.600	47.880	0.020886	1.2495	2.2192	49.579	12.792	21.304	686.84	-0.52387	1.1095e-05	0.087212	supercritical
100.00	12.100	49.634	0.020147	1.2491	2.2248	49.224	12.805	21.315	690.96	-0.52574	1.1146e-05	0.087754	supercritical
100.00	12.600	51.367	0.019468	1.2486	2.2304	48.884	12.818	21.326	695.07	-0.52749	1.1197e-05	0.088290	supercritical
100.00	13.100	53.078	0.018840	1.2482	2.2361	48.557	12.831	21.337	699.16	-0.52911	1.1248e-05	0.088822	supercritical
100.00	13.600	54.769	0.018259	1.2478	2.2417	48.242	12.843	21.347	703.23	-0.53061	1.1298e-05	0.089348	supercritical
100.00	14.100	56.439	0.017718	1.2474	2.2474	47.939	12.856	21.357	707.28	-0.53200	1.1348e-05	0.089870	supercritical
100.00	14.600	58.090	0.017215	1.2471	2.2531	47.647	12.869	21.366	711.32	-0.53328	1.1398e-05	0.090387	supercritical
100.00	15.100	59.721	0.016745	1.2468	2.2588	47.364	12.882	21.375	715.34	-0.53447	1.1447e-05	0.090901	supercritical
100.00	15.600	61.333	0.016305	1.2464	2.2645	47.090	12.894	21.384	719.35	-0.53556	1.1496e-05	0.091411	supercritical
100.00	16.100	62.926	0.015892	1.2462	2.2702	46.826	12.907	21.393	723.34	-0.53657	1.1544e-05	0.091917	supercritical
100.00	16.600	64.501	0.015504	1.2459	2.2760	46.569	12.919	21.401	727.31	-0.53751	1.1592e-05	0.092420	supercritical
100.00	17.100	66.057	0.015138	1.2456	2.2817	46.320	12.931	21.409	731.27	-0.53838	1.1640e-05	0.092921	supercritical
100.00	17.600	67.597	0.014794	1.2454	2.2875	46.078	12.944	21.417	735.21	-0.53918	1.1688e-05	0.093418	supercritical
100.00	18.100	69.119	0.014468	1.2451	2.2933	45.843	12.956	21.424	739.13	-0.53994	1.1735e-05	0.093914	supercritical
100.00	18.600	70.624	0.014160	1.2449	2.2991	45.615	12.968	21.432	743.04	-0.54064	1.1782e-05	0.094407	supercritical
100.00	19.100	72.112	0.013867	1.2447	2.3049	45.392	12.980	21.439	746.94	-0.54130	1.1829e-05	0.094898	supercritical
100.00	19.600	73.584	0.013590	1.2445	2.3107	45.176	12.992	21.445	750.82	-0.54192	1.1875e-05	0.095388	supercritical
100.00	20.100	75.040	0.013326	1.2444	2.3165	44.964	13.004	21.452	754.69	-0.54250	1.1922e-05	0.095876	supercritical
200.00	0.10000	0.24053	4.1576	2.5146	4.1787	103.67	12.473	20.787	832.70	-0.60440	1.5142e-05	0.11798	vapor
200.00	0.60000	1.4379	0.69546	2.5148	4.1850	88.778	12.481	20.793	835.60	-0.60424	1.5179e-05	0.11838	vapor
200.00	0.60000	1.4379	0.69546	2.5148	4.1850	88.778	12.481	20.793	835.60	-0.60424	1.5179e-05	0.11838	supercritical
200.00	0.60000	1.4379	0.69546	2.5148	4.1850	88.778	12.481	20.793	835.60	-0.60424	1.5179e-05	0.11838	supercritical
200.00	1.1000	2.6266	0.38072	2.5150	4.1912	83.739	12.488	20.798	838.50	-0.60404	1.5216e-05	0.11878	supercritical
200.00	1.6000	3.8067	0.26270	2.5152	4.1975	80.625	12.496	20.803	841.39	-0.60383	1.5253e-05	0.11918	supercritical
200.00	2.1000	4.9783	0.20087	2.5154	4.2038	78.365	12.503	20.809	844.27	-0.60360	1.5289e-05	0.11958	supercritical
200.00	2.6000	6.1416	0.16282	2.5156	4.2101	76.590	12.511	20.814	847.14	-0.60337	1.5325e-05	0.11998	supercritical
200.00	3.1000	7.2966	0.13705	2.5158	4.2164	75.129	12.518	20.819	850.01	-0.60312	1.5360e-05	0.12038	supercritical
200.00	3.6000	8.4435	0.11843	2.5161	4.2226	73.887	12.525	20.824	852.87	-0.60287	1.5395e-05	0.12078	supercritical
200.00	4.1000	9.5823	0.10436	2.5163	4.2289	72.806	12.533	20.828	855.72	-0.60261	1.5430e-05	0.12117	supercritical
200.00	4.6000	10.713	0.093343	2.5166	4.2352	71.851	12.540	20.833	858.56	-0.60236	1.5465e-05	0.12157	supercritical
200.00	5.1000	11.836	0.084487	2.5168	4.2415	70.994	12.547	20.838	861.39	-0.60211	1.5499e-05	0.12196	supercritical
200.00	5.6000	12.951	0.077212	2.5171	4.2477	70.217	12.555	20.842	864.22	-0.60186	1.5533e-05	0.12235	supercritical
200.00	6.1000	14.059	0.071129	2.5173	4.2540	69.507	12.562	20.847	867.04	-0.60161	1.5567e-05	0.12274	supercritical
200.00	6.6000	15.159	0.065968	2.5176	4.2603	68.854	12.569	20.851	869.86	-0.60137	1.5600e-05	0.12312	supercritical
200.00	7.1000	16.251	0.061533	2.5179	4.2665	68.247	12.576	20.855	872.66	-0.60113	1.5634e-05	0.12351	supercritical
200.00	7.6000	17.336	0.057682	2.5181	4.2728	67.683	12.584	20.859	875.46	-0.60090	1.5667e-05	0.12389	supercritical
200.00	8.1000	18.414	0.054306	2.5184	4.2791	67.154	12.591	20.863	878.25	-0.60068	1.5699e-05	0.12427	supercritical
200.00	8.6000	19.485	0.051322	2.5187	4.2853	66.657	12.598	20.867	881.04	-0.60046	1.5732e-05	0.12465	supercritical
200.00	9.1000	20.548	0.048666	2.5190	4.2916	66.189	12.605	20.871	883.81	-0.60025	1.5764e-05	0.12503	supercritical
200.00	9.6000	21.605	0.046287	2.5193	4.2979	65.745	12.612	20.875	886.58	-0.60005	1.5796e-05	0.12540	supercritical
200.00	10.100	22.654	0.044142	2.5196	4.3041	65.324	12.619	20.878	889.35	-0.59984	1.5828e-05	0.12578	supercritical
200.00	10.600	23.696	0.042201	2.5199	4.3104	64.924	12.626	20.882	892.10	-0.59965	1.5859e-05	0.12615	supercritical
200.00	11.100	24.732	0.040433	2.5202	4.3167	64.542	12.633	20.885	894.85	-0.59945	1.5890e-05	0.12652	supercritical
200.00	11.600	25.761	0.038818	2.5206	4.3229	64.177	12.640	20.889	897.60	-0.59926	1.5921e-05	0.12689	supercritical
200.00	12.100	26.783	0.037337	2.5209	4.3292	63.827	12.647	20.892	900.33	-0.59908	1.5952e-05	0.12726	supercritical
200.00	12.600	27.799	0.035973	2.5212	4.3354	63.491	12.654	20.895	903.06	-0.59889	1.5983e-05	0.12762	supercritical
200.00	13.100	28.808	0.034713	2.5216	4.3417	63.169	12.661	20.898	905.79	-0.59871	1.6013e-05	0.12799	supercritical
200.00	13.600	29.811	0.033545	2.5219	4.3479	62.859	12.668	20.901	908.50	-0.59853	1.6043e-05	0.12835	supercritical
200.00	14.100	30.807	0.032460	2.5223	4.3542	62.560	12.675	20.904	911.21	-0.59834	1.6073e-05	0.12871	supercritical
200.00	14.600	31.797	0.031450	2.5226	4.3605	62.272	12.682	20.907	913.92	-0.59816	1.6103e-05	0.12907	supercritical
200.00	15.100	32.781	0.030506	2.5230	4.3667	61.993	12.689	20.910	916.61	-0.59797	1.6132e-05	0.12943	supercritical
200.00	15.600	33.758	0.029622	2.5233	4.3730	61.723	12.696	20.913	919.30	-0.59779	1.6162e-05	0.12979	supercritical
200.00	16.100	34.730	0.028794	2.5237	4.3792	61.463	12.703	20.915	921.99	-0.59760	1.6191e-05	0.13014	supercritical
200.00	16.600	35.695	0.028015	2.5241	4.3855	61.210	12.710	20.918	924.66	-0.59740	1.6220e-05	0.13049	supercritical
200.00	17.100	36.655	0.027282	2.5244	4.3917	60.964	12.716	20.921	927.33	-0.59720	1.6249e-05	0.13085	supercritical
200.00	17.600	37.608	0.026590	2.5248	4.3980	60.726	12.723	20.923	930.00	-0.59700	1.6277e-05	0.13120	supercritical
200.00	18.100	38.556	0.025936	2.5252	4.4042	60.494	12.730	20.925	932.66	-0.59679	1.6306e-05	0.13155	supercritical
200.00	18.600	39.498	0.025318	2.5256	4.4104	60.269	12.737	20.928	935.31	-0.59658	1.6334e-05	0.13190	supercritical
200.00	19.100	40.434	0.024731	2.5260	4.4167	60.050	12.743	20.930	937.95	-0.59636	1.6362e-05	0.13224	supercritical
200.00	19.600	41.365	0.024175	2.5264	4.4229	59.837	12.750	20.932	940.59	-0.59614	1.6390e-05	0.13259	supercritical
200.00	20.100	42.290	0.023646	2.5268	4.4292	59.628	12.757	20.935	943.22	-0.59590	1.6417e-05	0.13294	supercritical
