Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Phase1
8.0000	0.10000	6.3445	0.15762	0.11464	0.17773	36.095	12.487	22.267	163.14	4.0913	1.9345e-06	0.014491	vapor
8.0000	0.60000	52.579	0.019019	0.079485	0.12516	16.882	12.117	35.450	161.41	2.7668	2.5624e-06	0.018786	vapor
8.0000	0.60000	52.579	0.019019	0.079485	0.12516	16.882	12.117	35.450	161.41	2.7668	2.5624e-06	0.018786	supercritical
8.0000	0.60000	52.579	0.019019	0.079485	0.12516	16.882	12.117	35.450	161.41	2.7668	2.5624e-06	0.018786	supercritical
8.0000	1.1000	99.658	0.010034	0.049885	0.094065	9.7004	11.541	31.292	210.09	0.71522	3.3503e-06	0.024385	supercritical
8.0000	1.6000	121.49	0.0082309	0.038171	0.090883	7.0573	11.292	23.844	257.62	-0.14720	3.9577e-06	0.028298	supercritical
8.0000	2.1000	134.37	0.0074422	0.032296	0.094851	5.6029	11.134	20.428	294.65	-0.54453	4.4669e-06	0.031308	supercritical
8.0000	2.6000	143.50	0.0069687	0.028779	0.10130	4.6107	11.000	18.496	325.02	-0.77171	4.9296e-06	0.033844	supercritical
8.0000	3.1000	150.64	0.0066385	0.026496	0.10887	3.8566	10.882	17.237	350.88	-0.91830	5.3686e-06	0.036091	supercritical
8.0000	3.6000	156.54	0.0063882	0.024964	0.11701	3.2469	10.773	16.337	373.54	-1.0210	5.7956e-06	0.038143	supercritical
8.0000	4.1000	161.60	0.0061881	0.023938	0.12549	2.7340	10.672	15.649	393.80	-1.0973	6.2173e-06	0.040052	supercritical
8.0000	4.6000	166.05	0.0060222	0.023274	0.13415	2.2904	10.578	15.100	412.20	-1.1564	6.6378e-06	0.041852	supercritical
8.0000	5.1000	170.04	0.0058809	0.022882	0.14293	1.8992	10.490	14.647	429.12	-1.2037	7.0601e-06	0.043565	supercritical
8.0000	5.6000	173.66	0.0057583	0.022702	0.15177	1.5488	10.406	14.263	444.82	-1.2425	7.4863e-06	0.045208	supercritical
8.0000	6.1000	176.99	0.0056501	0.022692	0.16064	1.2312	10.327	13.932	459.49	-1.2750	7.9179e-06	0.046791	supercritical
8.0000	6.6000	180.07	0.0055535	0.022821	0.16953	0.94054	10.251	13.641	473.29	-1.3026	8.3562e-06	0.048323	supercritical
8.0000	7.1000	182.94	0.0054663	0.023066	0.17841	0.67247	10.179	13.383	486.34	-1.3264	8.8024e-06	0.049811	supercritical
8.0000	7.6000	185.63	0.0053869	0.023408	0.18728	0.42355	10.109	13.151	498.73	-1.3473	9.2573e-06	0.051261	supercritical
8.0000	8.1000	188.18	0.0053142	0.023834	0.19613	0.19112	10.042	12.940	510.55	-1.3656	9.7216e-06	0.052677	supercritical
8.0000	8.6000	190.58	0.0052471	0.024332	0.20495	-0.026982	9.9780	12.748	521.87	-1.3819	1.0196e-05	0.054062	supercritical
8.0000	9.1000	192.87	0.0051848	0.024892	0.21374	-0.23250	9.9158	12.571	532.72	-1.3966	1.0682e-05	0.055420	supercritical
8.0000	9.6000	195.05	0.0051268	0.025508	0.22250	-0.42689	9.8556	12.408	543.16	-1.4098	1.1178e-05	0.056753	supercritical
8.0000	10.100	197.14	0.0050725	0.026172	0.23123	-0.61135	9.7973	12.256	553.24	-1.4217	1.1687e-05	0.058064	supercritical
8.0000	10.600	199.14	0.0050215	0.026880	0.23993	-0.78691	9.7409	12.115	562.98	-1.4327	1.2209e-05	0.059354	supercritical
8.0000	11.100	201.07	0.0049734	0.027627	0.24859	-0.95444	9.6861	11.982	572.40	-1.4426	1.2743e-05	0.060624	supercritical
8.0000	11.600	202.92	0.0049280	0.028408	0.25722	-1.1147	9.6328	11.858	581.55	-1.4518	1.3291e-05	0.061877	supercritical
8.0000	12.100	204.71	0.0048849	0.029220	0.26581	-1.2683	9.5811	11.740	590.43	-1.4603	1.3853e-05	0.063113	supercritical
8.0000	12.600	206.44	0.0048440	0.030061	0.27436	-1.4159	9.5307	11.629	599.08	-1.4681	1.4430e-05	0.064334	supercritical
8.0000	13.100	208.11	0.0048051	0.030927	0.28288	-1.5579	9.4817	11.524	607.49	-1.4754	1.5022e-05	0.065540	supercritical
8.0000	13.600	209.73	0.0047680	0.031817	0.29136	-1.6948	9.4339	11.424	615.70	-1.4822	1.5629e-05	0.066733	supercritical
8.0000	14.100	211.31	0.0047324	0.032728	0.29981	-1.8269	9.3873	11.329	623.71	-1.4885	1.6252e-05	0.067914	supercritical
8.0000	14.600	212.84	0.0046984	0.033659	0.30823	-1.9547	9.3419	11.239	631.54	-1.4943	1.6892e-05	0.069082	supercritical
8.0000	15.100	214.32	0.0046658	0.034608	0.31661	-2.0784	9.2976	11.153	639.20	-1.4998	1.7549e-05	0.070239	supercritical
8.0000	15.600	215.77	0.0046345	0.035573	0.32495	-2.1984	9.2543	11.070	646.69	-1.5049	1.8223e-05	0.071385	supercritical
8.0000	16.100	217.19	0.0046043	0.036554	0.33327	-2.3148	9.2121	10.991	654.03	-1.5097	1.8915e-05	0.072522	supercritical
8.0000	16.600	218.56	0.0045753	0.037548	0.34155	-2.4279	9.1708	10.916	661.23	-1.5142	1.9626e-05	0.073648	supercritical
8.0000	17.100	219.91	0.0045473	0.038555	0.34980	-2.5379	9.1304	10.843	668.28	-1.5184	2.0356e-05	0.074766	supercritical
8.0000	17.600	221.22	0.0045203	0.039575	0.35801	-2.6450	9.0910	10.774	675.21	-1.5223	2.1105e-05	0.075874	supercritical
8.0000	18.100	222.51	0.0044942	0.040605	0.36620	-2.7495	9.0524	10.707	682.01	-1.5260	2.1875e-05	0.076975	supercritical
8.0000	18.600	223.77	0.0044689	0.041646	0.37435	-2.8513	9.0147	10.643	688.69	-1.5294	2.2665e-05	0.078067	supercritical
8.0000	19.100	225.00	0.0044445	0.042696	0.38247	-2.9507	8.9777	10.581	695.26	-1.5327	2.3477e-05	0.079152	supercritical
