Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
110.31	0.67867	1240.5	0.00080614	-3.6473	-3.6254	65.606	18.938	48.742	666.72	-0.20462	139.40	0.095994	0.0071340	liquid
110.81	0.70100	1236.7	0.00080859	-3.6234	-3.6008	65.822	18.898	48.916	662.66	-0.19774	137.70	0.095317	0.0070237	liquid
111.31	0.72387	1232.9	0.00081108	-3.5995	-3.5760	66.038	18.859	49.094	658.58	-0.19070	136.02	0.094642	0.0069138	liquid
111.81	0.74727	1229.1	0.00081359	-3.5755	-3.5512	66.253	18.821	49.277	654.47	-0.18347	134.37	0.093968	0.0068043	liquid
112.31	0.77121	1225.3	0.00081614	-3.5515	-3.5263	66.469	18.783	49.466	650.35	-0.17607	132.74	0.093295	0.0066951	liquid
112.81	0.79569	1221.4	0.00081872	-3.5274	-3.5013	66.684	18.746	49.660	646.21	-0.16848	131.14	0.092624	0.0065862	liquid
113.31	0.82074	1217.5	0.00082133	-3.5032	-3.4763	66.898	18.709	49.860	642.05	-0.16070	129.55	0.091954	0.0064777	liquid
113.81	0.84634	1213.6	0.00082398	-3.4789	-3.4511	67.112	18.673	50.066	637.87	-0.15273	127.99	0.091285	0.0063696	liquid
114.31	0.87251	1209.7	0.00082666	-3.4546	-3.4258	67.327	18.637	50.279	633.66	-0.14455	126.46	0.090618	0.0062619	liquid
114.81	0.89926	1205.7	0.00082937	-3.4302	-3.4004	67.540	18.603	50.498	629.44	-0.13616	124.94	0.089953	0.0061545	liquid
115.31	0.92660	1201.7	0.00083213	-3.4057	-3.3749	67.754	18.568	50.723	625.19	-0.12755	123.44	0.089289	0.0060475	liquid
115.81	0.95452	1197.7	0.00083492	-3.3812	-3.3493	67.968	18.535	50.956	620.93	-0.11872	121.96	0.088626	0.0059408	liquid
116.31	0.98305	1193.7	0.00083775	-3.3565	-3.3236	68.181	18.502	51.195	616.64	-0.10965	120.50	0.087965	0.0058346	liquid
116.81	1.0122	1189.6	0.00084062	-3.3318	-3.2978	68.394	18.470	51.443	612.32	-0.10035	119.06	0.087305	0.0057287	liquid
117.31	1.0419	1185.5	0.00084353	-3.3070	-3.2719	68.607	18.438	51.698	607.99	-0.090795	117.63	0.086647	0.0056232	liquid
117.81	1.0723	1181.4	0.00084649	-3.2821	-3.2458	68.820	18.408	51.962	603.63	-0.080986	116.23	0.085990	0.0055181	liquid
118.31	1.1033	1177.2	0.00084948	-3.2571	-3.2197	69.033	18.378	52.234	599.24	-0.070912	114.83	0.085335	0.0054134	liquid
118.81	1.1349	1173.0	0.00085252	-3.2320	-3.1934	69.245	18.348	52.515	594.83	-0.060562	113.46	0.084682	0.0053092	liquid
