Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
350.00	3.0000	605.52	0.0016515	1.7158	1.7584	5.0021	168.62	216.40	849.15	-0.027111	187.21	0.10572	liquid
350.00	4.0000	605.69	0.0016510	1.7074	1.7643	4.9782	168.62	216.35	850.34	-0.027190	187.48	0.10578	liquid
350.00	5.0000	605.87	0.0016505	1.6991	1.7702	4.9544	168.62	216.30	851.52	-0.027269	187.75	0.10584	liquid
350.00	6.0000	606.05	0.0016500	1.6908	1.7761	4.9306	168.62	216.25	852.70	-0.027347	188.02	0.10590	liquid
350.00	7.0000	606.22	0.0016496	1.6825	1.7820	4.9069	168.62	216.20	853.88	-0.027424	188.29	0.10596	liquid
350.00	8.0000	606.40	0.0016491	1.6743	1.7880	4.8833	168.62	216.15	855.05	-0.027501	188.56	0.10603	liquid
350.00	9.0000	606.57	0.0016486	1.6661	1.7939	4.8597	168.63	216.10	856.22	-0.027577	188.83	0.10609	liquid
350.00	10.000	606.75	0.0016481	1.6579	1.7999	4.8362	168.63	216.04	857.38	-0.027653	189.09	0.10615	liquid
350.00	11.000	606.92	0.0016477	1.6497	1.8059	4.8127	168.63	216.00	858.55	-0.027729	189.36	0.10621	liquid
350.00	12.000	607.10	0.0016472	1.6415	1.8119	4.7892	168.63	215.95	859.71	-0.027803	189.63	0.10627	liquid
350.00	13.000	607.27	0.0016467	1.6334	1.8179	4.7659	168.63	215.90	860.86	-0.027877	189.90	0.10633	liquid
350.00	14.000	607.44	0.0016462	1.6253	1.8239	4.7425	168.63	215.85	862.01	-0.027951	190.16	0.10639	liquid
350.00	15.000	607.61	0.0016458	1.6172	1.8300	4.7193	168.64	215.80	863.16	-0.028024	190.43	0.10645	liquid
350.00	16.000	607.79	0.0016453	1.6091	1.8360	4.6961	168.64	215.75	864.31	-0.028097	190.69	0.10651	liquid
350.00	17.000	607.96	0.0016449	1.6011	1.8421	4.6729	168.64	215.70	865.45	-0.028169	190.96	0.10657	liquid
350.00	18.000	608.13	0.0016444	1.5931	1.8482	4.6498	168.64	215.66	866.59	-0.028241	191.22	0.10663	liquid
350.00	19.000	608.30	0.0016439	1.5851	1.8543	4.6267	168.64	215.61	867.73	-0.028312	191.49	0.10669	liquid
350.00	20.000	608.47	0.0016435	1.5771	1.8604	4.6037	168.65	215.56	868.86	-0.028383	191.75	0.10675	liquid
350.00	21.000	608.64	0.0016430	1.5692	1.8665	4.5808	168.65	215.51	869.99	-0.028453	192.02	0.10681	liquid
350.00	22.000	608.80	0.0016426	1.5612	1.8726	4.5578	168.65	215.47	871.12	-0.028523	192.28	0.10687	liquid
350.00	23.000	608.97	0.0016421	1.5533	1.8788	4.5350	168.65	215.42	872.24	-0.028592	192.55	0.10693	liquid
350.00	24.000	609.14	0.0016417	1.5454	1.8849	4.5122	168.65	215.38	873.36	-0.028661	192.81	0.10698	liquid
350.00	25.000	609.31	0.0016412	1.5376	1.8911	4.4894	168.66	215.33	874.48	-0.028729	193.07	0.10704	liquid
350.00	26.000	609.47	0.0016408	1.5297	1.8973	4.4667	168.66	215.29	875.59	-0.028797	193.34	0.10710	liquid
350.00	27.000	609.64	0.0016403	1.5219	1.9035	4.4441	168.66	215.24	876.70	-0.028865	193.60	0.10716	liquid
350.00	28.000	609.81	0.0016399	1.5141	1.9097	4.4214	168.66	215.20	877.81	-0.028932	193.86	0.10722	liquid
350.00	29.000	609.97	0.0016394	1.5063	1.9160	4.3989	168.66	215.15	878.92	-0.028998	194.12	0.10728	liquid
350.00	30.000	610.14	0.0016390	1.4985	1.9222	4.3764	168.67	215.11	880.02	-0.029064	194.39	0.10734	liquid
350.00	31.000	610.30	0.0016385	1.4908	1.9285	4.3539	168.67	215.07	881.12	-0.029130	194.65	0.10740	liquid
350.00	32.000	610.47	0.0016381	1.4830	1.9348	4.3315	168.67	215.02	882.21	-0.029195	194.91	0.10745	liquid
350.00	33.000	610.63	0.0016377	1.4753	1.9410	4.3091	168.67	214.98	883.31	-0.029260	195.17	0.10751	liquid
350.00	34.000	610.79	0.0016372	1.4676	1.9473	4.2868	168.68	214.94	884.40	-0.029324	195.43	0.10757	liquid
350.00	35.000	610.95	0.0016368	1.4600	1.9536	4.2645	168.68	214.89	885.49	-0.029388	195.69	0.10763	liquid
350.00	36.000	611.12	0.0016363	1.4523	1.9600	4.2423	168.68	214.85	886.57	-0.029452	195.95	0.10769	liquid
350.00	37.000	611.28	0.0016359	1.4447	1.9663	4.2201	168.68	214.81	887.65	-0.029515	196.21	0.10774	liquid
350.00	38.000	611.44	0.0016355	1.4371	1.9726	4.1979	168.68	214.77	888.73	-0.029578	196.47	0.10780	liquid
350.00	39.000	611.60	0.0016351	1.4295	1.9790	4.1758	168.69	214.73	889.81	-0.029640	196.73	0.10786	liquid
350.00	40.000	611.76	0.0016346	1.4219	1.9854	4.1538	168.69	214.69	890.88	-0.029702	196.99	0.10792	liquid
350.00	41.000	611.92	0.0016342	1.4144	1.9918	4.1318	168.69	214.64	891.95	-0.029764	197.25	0.10797	liquid
350.00	42.000	612.08	0.0016338	1.4068	1.9982	4.1098	168.69	214.60	893.02	-0.029825	197.51	0.10803	liquid
350.00	43.000	612.24	0.0016333	1.3993	2.0046	4.0879	168.70	214.56	894.09	-0.029886	197.76	0.10809	liquid
350.00	44.000	612.40	0.0016329	1.3918	2.0110	4.0660	168.70	214.52	895.15	-0.029947	198.02	0.10815	liquid
350.00	45.000	612.56	0.0016325	1.3843	2.0174	4.0442	168.70	214.48	896.21	-0.030007	198.28	0.10820	liquid
350.00	46.000	612.72	0.0016321	1.3769	2.0239	4.0224	168.70	214.44	897.27	-0.030066	198.54	0.10826	liquid
350.00	47.000	612.87	0.0016317	1.3694	2.0303	4.0007	168.71	214.40	898.32	-0.030126	198.80	0.10832	liquid
350.00	48.000	613.03	0.0016312	1.3620	2.0368	3.9790	168.71	214.36	899.37	-0.030185	199.05	0.10837	liquid
350.00	49.000	613.19	0.0016308	1.3546	2.0432	3.9573	168.71	214.33	900.42	-0.030243	199.31	0.10843	liquid
350.00	50.000	613.34	0.0016304	1.3472	2.0497	3.9357	168.71	214.29	901.47	-0.030301	199.57	0.10849	liquid
400.00	5.0000	550.35	0.0018170	13.089	13.167	35.355	186.43	240.58	631.62	-0.0063969	124.71	0.094280	liquid
400.00	6.0000	550.67	0.0018160	13.075	13.169	35.320	186.42	240.44	633.42	-0.0066540	124.99	0.094361	liquid
400.00	7.0000	550.99	0.0018149	13.061	13.170	35.285	186.42	240.30	635.22	-0.0069076	125.26	0.094441	liquid
400.00	8.0000	551.31	0.0018139	13.047	13.172	35.250	186.41	240.16	637.01	-0.0071576	125.53	0.094521	liquid
400.00	9.0000	551.63	0.0018128	13.033	13.174	35.215	186.40	240.02	638.78	-0.0074042	125.81	0.094600	liquid
400.00	10.000	551.94	0.0018118	13.019	13.175	35.181	186.40	239.89	640.55	-0.0076474	126.08	0.094679	liquid
400.00	11.000	552.26	0.0018108	13.006	13.177	35.146	186.39	239.75	642.30	-0.0078874	126.35	0.094758	liquid
400.00	12.000	552.57	0.0018097	12.992	13.179	35.112	186.38	239.62	644.05	-0.0081241	126.62	0.094837	liquid
400.00	13.000	552.88	0.0018087	12.979	13.181	35.078	186.38	239.49	645.78	-0.0083577	126.89	0.094915	liquid
