Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
337.00	0.86740	618.16	0.0016177	-1.0444	-1.0323	-3.0353	164.10	210.95	903.93	-0.030602	208.52	0.10894	0.013903	2.7899	0.35843	25.485	28.164	83.600	151.54	162.00	178.08	3.3126	7.0223	0.017087
338.00	0.89593	617.18	0.0016203	-0.83347	-0.82096	-2.4102	164.44	211.37	899.55	-0.030339	206.73	0.10868	0.013803	2.8762	0.34768	25.626	28.311	83.779	151.99	162.49	178.16	3.2834	7.0422	0.017176
339.00	0.92520	616.20	0.0016229	-0.62213	-0.60919	-1.7858	164.79	211.79	895.16	-0.030073	204.96	0.10842	0.013703	2.9646	0.33732	25.769	28.458	83.958	152.43	162.99	178.24	3.2546	7.0621	0.017266
340.00	0.95522	615.21	0.0016255	-0.41038	-0.39700	-1.1621	165.13	212.21	890.78	-0.029804	203.22	0.10816	0.013603	3.0551	0.32733	25.911	28.605	84.139	152.87	163.49	178.31	3.2263	7.0820	0.017357
341.00	0.98599	614.22	0.0016281	-0.19822	-0.18439	-0.53892	165.48	212.63	886.40	-0.029534	201.49	0.10790	0.013504	3.1477	0.31769	26.054	28.753	84.321	153.32	163.99	178.38	3.1983	7.1020	0.017447
342.00	1.0175	613.23	0.0016307	0.014355	0.028654	0.083624	165.83	213.06	882.03	-0.029260	199.78	0.10764	0.013404	3.2425	0.30840	26.196	28.901	84.505	153.76	164.49	178.45	3.1708	7.1221	0.017538
343.00	1.0499	612.24	0.0016333	0.22735	0.24212	0.70556	166.17	213.48	877.65	-0.028984	198.09	0.10739	0.013305	3.3396	0.29944	26.340	29.049	84.689	154.21	165.00	178.51	3.1437	7.1421	0.017629
344.00	1.0830	611.24	0.0016360	0.44075	0.45602	1.3269	166.52	213.91	873.28	-0.028706	196.42	0.10713	0.013205	3.4389	0.29079	26.483	29.197	84.875	154.65	165.51	178.57	3.1170	7.1623	0.017720
345.00	1.1169	610.24	0.0016387	0.65458	0.67035	1.9477	166.87	214.33	868.92	-0.028424	194.76	0.10688	0.013106	3.5405	0.28244	26.626	29.345	85.063	155.10	166.01	178.63	3.0907	7.1824	0.017812
346.00	1.1517	609.24	0.0016414	0.86882	0.88511	2.5678	167.22	214.76	864.55	-0.028140	193.13	0.10662	0.013007	3.6445	0.27438	26.770	29.494	85.251	155.54	166.52	178.68	3.0648	7.2027	0.017903
347.00	1.1873	608.24	0.0016441	1.0835	1.1003	3.1874	167.57	215.19	860.19	-0.027853	191.51	0.10637	0.012908	3.7509	0.26660	26.914	29.642	85.441	155.99	167.03	178.73	3.0393	7.2230	0.017995
348.00	1.2237	607.23	0.0016468	1.2986	1.3159	3.8064	167.91	215.63	855.83	-0.027564	189.91	0.10612	0.012809	3.8597	0.25909	27.059	29.791	85.631	156.44	167.55	178.77	3.0141	7.2433	0.018088
349.00	1.2611	606.22	0.0016496	1.5141	1.5320	4.4249	168.26	216.06	851.48	-0.027271	188.32	0.10587	0.012711	3.9709	0.25183	27.203	29.940	85.823	156.89	168.06	178.81	2.9894	7.2638	0.018180
350.00	1.2993	605.21	0.0016523	1.7300	1.7485	5.0428	168.61	216.49	847.12	-0.026975	186.75	0.10562	0.012612	4.0846	0.24482	27.348	30.089	86.016	157.33	168.58	178.84	2.9650	7.2843	0.018273
351.00	1.3383	604.20	0.0016551	1.9463	1.9654	5.6602	168.96	216.93	842.77	-0.026676	185.20	0.10537	0.012514	4.2009	0.23804	27.493	30.239	86.210	157.78	169.10	178.88	2.9410	7.3049	0.018366
352.00	1.3783	603.18	0.0016579	2.1631	2.1828	6.2770	169.32	217.37	838.42	-0.026375	183.66	0.10512	0.012416	4.3198	0.23149	27.638	30.388	86.405	158.23	169.62	178.90	2.9174	7.3256	0.018459
353.00	1.4193	602.16	0.0016607	2.3803	2.4006	6.8932	169.67	217.81	834.07	-0.026070	182.14	0.10487	0.012317	4.4413	0.22516	27.784	30.538	86.602	158.68	170.14	178.93	2.8941	7.3463	0.018552
354.00	1.4611	601.14	0.0016635	2.5979	2.6189	7.5090	170.02	218.25	829.73	-0.025761	180.64	0.10463	0.012219	4.5655	0.21903	27.930	30.688	86.799	159.13	170.66	178.95	2.8712	7.3672	0.018646
355.00	1.5039	600.11	0.0016664	2.8160	2.8376	8.1242	170.37	218.69	825.39	-0.025450	179.15	0.10438	0.012122	4.6924	0.21311	28.076	30.838	86.997	159.58	171.19	178.96	2.8486	7.3882	0.018740
356.00	1.5477	599.08	0.0016692	3.0345	3.0568	8.7389	170.72	219.13	821.04	-0.025135	177.67	0.10414	0.012024	4.8220	0.20738	28.222	30.988	87.197	160.03	171.72	178.97	2.8264	7.4093	0.018834
